"ID","SalePrice"
1461,125795.052541669
1462,166737.205792936
1463,181393.320975589
1464,200708.211616689
1465,262504.561749098
1466,195863.961314146
1467,196551.618466592
1468,199073.178402695
1469,214272.437725369
1470,130517.031164182
1471,184207.770266928
1472,115604.355177526
1473,116647.598197971
1474,158279.928979202
1475,188764.972825438
1476,375741.432132382
1477,303554.162146597
1478,314351.587076492
1479,282361.153680869
1480,319958.45880499
1481,261787.051668673
1482,280091.636508785
1483,197172.408841886
1484,210616.16711507
1485,212177.138247579
1486,212177.138247579
1487,280221.095768175
1488,269361.90713575
1489,215039.956483066
1490,182932.704768773
1491,205697.802726587
1492,120896.110641857
1493,169733.627793494
1494,277898.562303863
1495,263796.121672654
1496,204539.531760786
1497,201244.672597006
1498,201244.672597006
1499,201244.672597006
1500,182932.704768773
1501,182917.894360852
1502,205592.256672768
1503,278970.991191351
1504,263848.290570101
1505,202660.494054504
1506,171106.214272788
1507,182597.860906509
1508,169463.89136067
1509,155559.950160327
1510,138213.204974084
1511,138213.204974084
1512,140446.372423251
1513,167308.91143288
1514,148544.773782671
1515,136257.875844854
1516,146262.486330029
1517,179069.192019743
1518,138270.711443547
1519,206001.787149239
1520,146363.655232463
1521,146363.655232463
1522,149264.862240249
1523,127615.088533885
1524,136257.875844854
1525,136743.544554152
1526,138270.711443547
1527,119384.20972128
1528,153247.77155837
1529,148430.428699705
1530,159679.383916283
1531,104183.305801515
1532,123631.269924745
1533,122970.070429893
1534,129890.153959891
1535,124525.196666049
1536,119136.959463511
1537,85526.5574854832
1538,204255.331562672
1539,213404.437077544
1540,97449.2996453899
1541,132982.234167824
1542,122805.160116782
1543,199703.545441777
1544,113919.10315269
1545,130140.770273948
1546,124709.349607958
1547,117268.929226525
1548,132135.046824869
1549,121921.000605044
1550,112281.106924227
1551,119310.852459489
1552,105290.546575773
1553,129358.31310692
1554,130940.887638724
1555,146363.655232463
1556,124322.590274419
1557,123460.456855273
1558,162698.72030811
1559,105522.524873964
1560,134587.736847009
1561,113358.576128398
1562,141122.897877669
1563,139018.058307765
1564,152092.689527787
1565,139018.058307765
1566,236494.294185384
1567,107210.615753298
1568,187333.533141923
1569,104729.668610245
1570,158375.402572432
1571,125673.165349657
1572,136424.004170449
1573,223818.83150281
1574,131443.998711087
1575,225510.99991486
1576,197414.992705393
1577,224800.935969588
1578,187665.76166859
1579,168454.540097419
1580,216801.719451646
1581,159715.858731341
1582,141015.213142113
1583,265553.785790728
1584,210241.698747173
1585,150506.512581321
1586,116461.467666851
1587,136416.666421198
1588,175087.84037795
1589,119676.757001775
1590,158279.928979202
1591,129140.016962731
1592,138996.299333043
1593,145301.238263156
1594,109266.913223568
1595,111999.807909484
1596,203646.709179832
1597,135080.924654514
1598,232559.109479006
1599,254096.735332339
